,Tree_ID,Year,Dist_west,Dist_south,Sp,Sp_code,En.Un,Block_new,Lat,Long,Class,Status2,DBH.y,DBH_mean
6999,1624,2014,0.4,778.4,I,NA,Enclosed,38,50.86074941,-1.538700595,10,1,NA,9.549296586
7007,1625,1996,0.4,778.4,I,3.02,Enclosed,38,50.8537474,-1.531698588,10,1,NA,2.9
7008,1625,2014,0.4,778.4,I,NA,Enclosed,38,50.86074941,-1.538700595,10,1,NA,8.594366927
7012,1626,1959,1.5,778,F,1,Enclosed,38,50.853751,-1.531708488,60,1,56,56
7013,1626,1964,1.5,778,F,1,Enclosed,38,50.853751,-1.531708488,70,1,NA,61
7014,1626,1984,1.5,778,F,1,Enclosed,38,50.853751,-1.531708488,70,0,NA,65.6
7015,1626,1988,1.5,778,F,1,Enclosed,38,50.853751,-1.531708488,70,0,NA,64
7016,1626,1996,1.5,778,F,1,Enclosed,38,50.853751,-1.531708488,70,0,NA,63.3
7021,1627,1959,1.6,774.9,Q,2,Enclosed,38,50.8537789,-1.531709388,30,1,25,25
7022,1627,1964,1.6,774.9,Q,2,Enclosed,38,50.8537789,-1.531709388,30,1,NA,29
7023,1627,1984,1.6,774.9,Q,2,Enclosed,38,50.8537789,-1.531709388,30,1,NA,28.6
7024,1627,1988,1.6,774.9,Q,2,Enclosed,38,50.8537789,-1.531709388,30,1,NA,29
7025,1627,1996,1.6,774.9,Q,2,Enclosed,38,50.8537789,-1.531709388,40,1,NA,31.2
7026,1627,2014,1.6,774.9,Q,NA,Enclosed,38,50.86073861,-1.538669095,40,1,NA,34.37746771
7030,1628,1959,2.8,760.6,Q,2,Enclosed,38,50.8539076,-1.531720188,30,1,28,28
7031,1628,1964,2.8,760.6,Q,2,Enclosed,38,50.8539076,-1.531720188,40,1,NA,32
7032,1628,1984,2.8,760.6,Q,2,Enclosed,38,50.8539076,-1.531720188,40,1,NA,30.2
7033,1628,1988,2.8,760.6,Q,2,Enclosed,38,50.8539076,-1.531720188,40,0,NA,30
