Block,Year,A,B,Cr,F,Fr.x,I,PM,Q,Sc,T,Sorensen_BA,A.x,B.x,Cr.x,F.x,I.x,PM.x,Q.x,Sc.x,T.x,Sorensen.x,A.y,B.y,Cr.y,F.y,Fr.y,I.y,PM.y,Q.y,Sc.y,T.y,Sorensen.SD,SDM,BAM,BAFM,BAQM,SPRM,LightM,MoistM,NitM,SDS,BAS,BAFS,BAQS,SPRS,LightS,MoistS,NitS,BAPERCM,BARAWM,BAFPERCM,BAFRAWM,BAQPERCM,BAQRAWM,BAQFPERCM,BAQFRAWM,SDPERCM,SDRAWM,SPRPERCM,SPRRAWM,BAPERCS,BARAWS,BAFPERCS,BAFRAWS,BAQPERCS,BAQRAWS,BAQFPERCS,BAQFRAWS,SDPERCS,SDRAWS,SPRPERCS,SPRRAWS,LightPercM,LightRawM,MoistPercM,MoistRawM,NitPercM,NitRawM,LightPercS,LightRawS,MoistPercS,MoistRawS,NitPercS,NitRawS,Northing,Easting
6,1996,0,0,0,43.6863394873,0,0,0,0,0,0,0.9193421516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5,0,0,0,0,0,0,0.2857142857,5,43.6863394873,43.6863394873,0,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.1754686179,6.5212983954,0.1754686179,6.5212983954,0,0,0.1754686179,6.5212983954,-0.8333333333,-25,-0.6666666667,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,106804,433046
6,2014,0,0,0,47.6725278788,0,0,0,0,0,0,0.8761458289,0,0,0,0,1,0,0,0,0,0.0769230769,0,0,0,5,0,1,0,0,0,0,0.3333333333,6,47.6725278788,47.6725278788,0,2,1,2,2,1,0.0877341726,0,0,1,3,5,5,0.2827250146,10.5074867868,0.2827250146,10.5074867868,0,0,0.2827250146,10.5074867868,-0.8,-24,-0.3333333333,-1,-0.1550180181,-0.0160954646,-1,-0.0035539267,0,0,-1,-0.0035539267,-0.96,-24,-0.6666666667,-2,0,0,0,0,0,0,0.0367272252,0.1062783661,0.0217172888,0.1062783661,0.0138814326,0.0684568835,106804,433046
7,1964,0,0,0,38.1919491906,0,0,0,7.7931132763,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,3,0,5,0,1,0,0,1,9,45.9850624669,38.1919491906,7.7931132763,3,1.677882152,2,1.830529462,5,0.0036521015,0,0,1,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106786,433045
7,1984,0,0,0,7.1157859002,0,1.617311533,0,0,0,0,0.2600886402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,0,0,0,0.3636363636,2,8.7330974332,7.1157859002,0,2,1.3703866916,2,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.810088386,-37.2519650337,-0.8136836152,-31.0761632904,-1,-7.7931132763,-0.8452587532,-38.8692765667,-0.7777777778,-7,-0.3333333333,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1832640391,-0.3074954604,0,0,0.0925800658,0.169470538,NA,NA,NA,NA,NA,NA,106786,433045
7,1988,0,0,0,6.673704909,0,0.6082123377,0,0,0,0,0.2505756829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,0,0,0,0.3636363636,2,7.2819172467,6.673704909,0,2,1.1670473083,2,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.841646029,-38.7031452202,-0.8252588556,-31.5182442816,-1,-7.7931132763,-0.8548723313,-39.3113575579,-0.7777777778,-7,-0.3333333333,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.304452159,-0.5108348437,0,0,0.0925800658,0.169470538,NA,NA,NA,NA,NA,NA,106786,433045
7,1996,0,0,0,0,0,0.8171282492,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0.2,1,0.8171282492,0,0,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.9822305722,-45.1679342177,-1,-38.1919491906,-1,-7.7931132763,-1,-45.9850624669,-0.8888888889,-8,-0.6666666667,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.787968241,1.322117848,0,0,0.0925800658,0.169470538,NA,NA,NA,NA,NA,NA,106786,433045
8,1964,0,0,0,36.5838464511,0,1.4981469967,0,23.5089305259,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,7,0,3,0,0,1,12,61.5909239736,36.5838464511,23.5089305259,3,2.5754271869,2,1.6183052793,3,0.3196766875,0,0,1,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106773,433044
8,1984,0,0,0,0,0,0.678210949,0,28.4615138996,0,0,0.5331636396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,0,3,0,0,0.5882352941,5,29.1397248486,0,28.4615138996,2,4.9534511082,2,1.0232744459,NA,NA,NA,NA,NA,NA,NA,NA,-0.5268828105,-32.451199125,-1,-36.5838464511,0.21066817,4.9525833737,-0.5263737951,-31.6312630773,-0.5833333333,-7,-0.3333333333,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9233512535,2.3780239213,0,0,-0.3676876304,-0.5950308334,NA,NA,NA,NA,NA,NA,106773,433044
8,1988,0,0,0,0,0,0.8512341644,0,30.3569349223,0,0,0.5250086803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,0,3,0,0,0.5882352941,5,31.2081690867,0,30.3569349223,2,4.9454479907,2,1.0272760046,NA,NA,NA,NA,NA,NA,NA,NA,-0.4932992221,-30.3827548869,-1,-36.5838464511,0.2912937443,6.8480043964,-0.494832217,-29.7358420547,-0.5833333333,-7,-0.3333333333,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9202437622,2.3700208038,0,0,-0.3652149457,-0.5910292746,NA,NA,NA,NA,NA,NA,106773,433044
8,1996,0,0,0,0,0,1.1498425462,0,34.4473670971,0,0,0.5074441118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,0,3,0,0,0.5882352941,5,35.5972096432,0,34.4473670971,2,4.9353970405,2,1.0323014797,NA,NA,NA,NA,NA,NA,NA,NA,-0.4220380643,-25.9937143304,-1,-36.5838464511,0.4652885659,10.9384365712,-0.4267636007,-25.6454098799,-0.5833333333,-7,-0.3333333333,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.916341128,2.3599698536,0,0,-0.3621095519,-0.5860037995,NA,NA,NA,NA,NA,NA,106773,433044
