Block,Year,Heavy shade,Wet ground,"Open, gap, glade",Vascular ground cover,Agrostis spp.,Anemone nemorosa,Anthoxanthum odoratum,Athyrium filix-femina,Blechnum spicant,Brachypodium sylvaticum,Calluna vulgaris,Cardamine flexuosa,Carex demissa,Carex pilulifera,Carex remota,Carex sylvatica,Cerastium vulgatum (fontanum),Circaea lutetiana,Cirsium vulgare,Dactylis glomerata,Deschampsia cespitosa,Deschampsia flexuosa,Digitalis purpurea,Dryopteris austriaca (dilatata),Dryopteris filix-mas,Dryopteris spinulosa,Endymion nonscriptus,Epilibium montanum?,Epilobium parviflorum,Euphorbia amygdaliodes,Festuca ovina,Galium palustre,Galium saxatile,Geum urbanum,Glyceria sp.,Hedera helix,Holcus mollis,Hypericum androsaemum,Juncus buffonius,Juncus effusus,Lonicera periclymenum,Lotus corniculatus,Luzula campestris,Luzula multiflora,Luzula pilosa,Lysimachia nemorum,Molinia caerulea,Oxalis acetosella,Poa annua,Poa trivialis?,Polypodium vulgare,Potentilla erecta,Pteridium aquilinum,Ranunculus flammula,Ranunculus repens,Rubus fruticosus,Ruscus aculeatus,Scutellaria minor,Senecio sylvatica,Stellaria alsine,Veronica chamaedrys,Veronica officinalis,Viola riviniana,Lotus pedunculatus,Melampyrum pratense,Montia fontanum,Polypodium interjectum,Ranunculus sarduous,Rosa arvensis,Taraxacum officinalis agg.,Vaccinium myrtillus ,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1996,S,W,,20,10,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2014,,,,20,15,,,,,,,0.5,,0.5,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1996,S,W,,20,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2014,,,,10,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1996,S,,,2.5,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2014,,,,2.5,1,0.5,,,,,,0.5,,0.5,0.5,,,,,,,,0.5,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,0.5,,,,,,,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1996,S,W,O,40,30,,,1,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,5,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2014,,,,25,25,,,0.5,0.5,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,0.5,,,0.5,0.5,,,,,,,,5,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1996,S,W,O,10,5,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2014,,,,10,10,,,0.5,0.5,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,0.5,,,0.5,0.5,,,,,,,0.5,5,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1996,S,,,15,10,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2014,,,,5,5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,,,,,,,,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1996,S,W,,5,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2014,,,,2,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1996,S,W,o,40,30,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,,,,1,,1,1,1,,,,,,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2014,,,,20,10,,,,,,,0.5,0.5,,10,,,,,,,,0.5,,,,,,,,,0.5,,,,0.5,,,0.5,0.5,,,,,,0.5,0.5,0.5,,,,,0.5,0.5,0.5,0.5,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1996,S,W,O,10,5,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,,,,,1,,,,1,,1,,1,,,,,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2014,,,,25,15,,,,,,,,0.5,,0.5,,,,,,,,0.5,0.5,,,,,,,,0.5,,,,0.5,,,0.5,0.5,,,,,,0.5,0.5,10,,,,,60,0.5,0.5,0.5,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1996,S,,O,85,75,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,1,10,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2014,,,,50,5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,,0.5,,,,0.5,,,,,,,0.5,2,,,,0.5,50,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1996,,,O,55,40,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,1,1,,,1,1,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2014,,,,40,0.5,,,,,,,,,,,,0.5,,0.5,,,,0.5,0.5,,,,,,,,,0.5,,,0.5,,,,0.5,,,,0.5,,0.5,1,1,,,,0.5,2,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1996,,,O,95,75,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,1,,,,,,,5,,,1,1,,,1,1,1,,,1,,,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2014,,,,90,50,,,,,,0.5,,,,,,0.5,,0.5,,,,0.5,,,,,,,,,,0.5,,,0.5,0.5,,,0.5,0.5,,,0.5,,,50,1,?,,,0.5,,,0.5,0.5,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1996,,,O,95,80,,,1,,,,,,1,,,,,,,,,1,1,1,,,,,1,,,1,,,,,,,1,,,1,,,,1,1,,,,,,,,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2014,,,,90,75,,,,,,,,0.5,,,,,,0.5,,,,0.5,0.5,0.5,,,,,0.5,,,0.5,,,0.5,,,,0.5,,,,,,,0.5,0.5,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1996,S,,O,90,75,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,1,,,,1,,,,,,,1,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2014,,,,80,80,,0.5,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,0.5,,,0.5,,,,0.5,,,,0.5,,,0.5,0.5,,,,,0.5,,,0.5,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1996,S,,O,55,50,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2014,,,,50,40,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,,,,,,0.5,,,0.5,,,,0.5,0.5,,,,0.5,,,,0.5,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1996,,,O,95,80,,,1,,,,,,1,,,,,,,,,1,1,,,,,,,,,1,,,1,,,,1,,,1,,,,1,1,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2014,,,,80,75,,,,,,,,,,,,,,1,,,,0.5,,,,,,,,,,0.5,,,0.5,,,,0.5,,,,0.5,,,25,0.5,,,,0.5,,,,0.5,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
