"Block","Year","Perc_C","PCC","BAPERCM","BAM","freq","PSpR","Sorensen"
21,2014,2,2,0.145112295179513,83.4738182034901,11,1.01160091167848,0.0421052631578948
22,1964,0,0,0,40.3675021032203,4,0,1
22,1996,32,32,-0.428237268349628,23.0806332724394,9,0.810930216216329,0.0454545454545454
22,2014,25,25,-0.312212026622467,27.7642824618872,9,0.810930216216329,0.111111111111111
23,1964,2,0,0,34.9904699270606,10,0,1
23,1996,8,6,0.453433966499257,50.8563374957606,10,0,0.181818181818182
23,2014,11,9,0.423804199991358,49.8195780418202,12,0.182321556793954,0.175438596491228
24,1964,0,0,0,51.4671416474348,14,0,1
24,1996,11,11,0.0733278650999542,55.2411172672381,8,-0.559615787935423,0.344827586206897
24,2014,5.5,5.5,-0.660281026066,17.4843645517824,7,-0.693147180559945,0.146341463414634
27,1964,2,0,0,20.0752679302909,7,0,1
27,1996,7,5,0.207048927794214,24.2318306304392,14,0.693147180559945,0.260869565217391
27,2014,16.5,14.5,0.497124164454586,30.0551687263387,19,0.998528830111127,0.0609137055837563
28,1964,0,0,0,61.9674242182065,3,0,1
28,1996,77,77,-0.0144725481032011,61.0705976903771,11,1.29928298413026,0.0421052631578948
28,2014,5.5,5.5,0.0399348680743514,64.442085129268,11,1.29928298413026,0.048
29,1964,2,0,0,25.5980896405313,5,0,1
29,1996,48,46,0.0157344481092276,26.0008614536756,12,0.8754687373539,0.0645161290322581
29,2014,2,0,0.0925582063864558,27.9674029045786,17,1.22377543162212,0.275862068965517
3,1964,4,0,0,48.8714007174062,11,0,1
3,1996,3,-1,-0.108156689433507,43.5856318078332,8,-0.318453731118535,0.208695652173913
3,2014,2,-2,-0.318521359638544,33.3048157134579,7,-0.451985123743057,0.221238938053097
30,1964,0,0,0,49.5748229474991,2,0,1
30,1996,80,80,-0.876016753636391,6.14644748693209,18,2.19722457733622,0
30,2014,101,101,-0.815198419779212,9.16150561986363,18,2.19722457733622,0.00917431192660545
31,1964,0,0,0,53.0757352608432,7,0,1
31,1996,83,83,-0.923746404624277,4.04721564084931,16,0.826678573184468,0.0600000000000001
31,2014,76,76,-0.696555588346923,16.1055352592811,15,0.762140052046897,0.0457142857142857
32,1964,3,0,0,36.4125314766621,10,0,1
32,1996,77,74,-0.479007266207417,18.9706643183346,11,0.0953101798043248,0.129032258064516
32,2014,81,78,-0.281653446697361,26.156816483284,14,0.336472236621213,0.0631578947368421
33,1964,1,0,0,63.8248908746415,4,0,1
33,1996,52,51,-0.299444867446529,44.7128548868953,11,1.01160091167848,0.0317460317460317
33,2014,41,40,-0.248045376939551,47.9934217595154,12,1.09861228866811,0.0204081632653061
