Block,Year,BAM,BAPERCM,BARR,Northing,Easting,BAPERCM_prev,BA_prev_adj,Collapsed,Collapsed_adj,Collapsed_prev
10,2014,20.88431037,-0.35732375,-0.442114181,106730,433046,-0.4042,-0.376463474,1,,1
11,2014,27.26970968,-0.401879884,-0.513963682,106707,433044,-0.527000861,-0.131808696,1,,1
12,2014,50.46186485,0.388964856,0.328558762,106687,433042,0.140582608,-0.361198597,0,1,0
13,2014,42.3080103,0.003810426,0.003803185,106666,433035,-0.195396334,0.105405022,0,0,0
14,2014,48.13844965,0.284051227,0.250020101,106647,433038,0.070227436,-0.248998717,0,1,0
15,2014,43.69984285,-0.260893915,-0.302313816,106624,433036,-0.302601101,-0.238253076,1,,1
16,2014,23.49733798,-0.427952248,-0.558532808,106602,433034,-0.546733589,-0.397938557,1,,1
17,2014,28.40343537,-0.468468934,-0.631993633,106585,433028,-0.493276013,-0.258828745,1,,1
18,2014,45.24203253,0.10072985,0.09597346,106571,433031,0.0290761,-0.214305509,0,1,0
19,2014,41.85884679,0.273052407,0.241417487,106550,433024,0.064664995,0.153363687,0,0,0
20,2014,45.80220288,0.479568082,0.391750209,106531,433028,0.277651275,0.056281266,0,0,0
21,2014,83.4738182,0.145112295,0.135502707,106506,433029,0.047897537,-0.075292997,0,1,0
22,2014,27.76428246,-0.312212027,-0.374274667,106486,433024,-0.428237268,0.250665752,1,,1
23,2014,49.81957804,0.4238042,0.353332304,106473,433024,0.453433966,-0.177454702,0,1,0
24,2014,17.48436455,-0.660281026,-1.07963655,106451,433021,0.073327865,0.330241447,1,,0
27,2014,30.05516873,0.497124164,0.403546044,106384,433009,0.207048928,-0.014472548,0,1,0
28,2014,64.44208513,0.039934868,0.039158084,106367,433016,-0.014472548,0.111391688,0,0,0
29,2014,27.9674029,0.092558206,0.088521925,106349,433018,0.015734448,-0.445244651,0,1,0
30,2014,9.16150562,-0.81519842,-1.688472569,106333,433009,-0.876016754,-0.454005978,1,,1
31,2014,16.10553526,-0.696555588,-1.192556843,106309,433012,-0.923746405,-0.67751201,1,,1
32,2014,26.15681648,-0.281653447,-0.330803162,106291,433008,-0.479007266,-0.611595636,1,,1
33,2014,47.99342176,-0.248045377,-0.285079299,106269,433004,-0.299444867,-0.67074067,0,1,1
34,2014,8.608392457,-0.78779452,-1.550200226,106252,433005,-0.862474075,-0.337799056,1,,1
35,2014,47.07176544,-0.313047122,-0.37548958,106234,433001,-0.376153246,-0.726278003,1,,1
36,2014,20.92892475,-0.47072775,-0.636252329,106215,432996,-0.590081931,-0.104132562,1,,1
37,2014,33.92392586,0.20660057,0.18780696,106188,433001,0.167888121,-0.245028918,0,1,0
38,2014,53.67982894,-0.016833445,-0.016976738,106178,433001,0.100024095,0.014864971,0,0,0
39,2014,27.46755691,-0.344557379,-0.422444514,106150,432994,-0.138158178,0.060343398,1,0,0
40,2014,43.25990508,0.224889572,0.202850695,106125,432991,0.020662701,-0.238646684,0,1,0
41,2014,25.00550296,-0.239681042,-0.274017252,106110,433000,-0.33913519,-0.124548999,0,,1
42,2014,57.55778834,0.024067804,0.023782739,106089,432997,-0.269760699,-0.260345856,0,,1
43,2014,67.54336841,-0.076992808,-0.080118252,106072,432991,-0.181556522,-0.319891801,0,1,0
46,2014,27.54574177,-0.382121511,-0.481463461,106012,432982,-0.370022902,-0.121456262,1,,1
47,2014,27.87360096,-0.606759471,-0.93333382,105993,432978,-0.061356002,-0.371021796,1,1,0
48,2014,35.25898715,-0.523680247,-0.7416659,105971,432979,-0.37202069,-0.014552404,1,,1
49,2014,70.46067698,0.106035695,0.100782176,105954,432979,0.032251194,-0.070419406,0,1,0
50,2014,59.08249694,0.396827992,0.334203946,105929,432973,0.231181877,-0.278099049,0,1,0
52,2014,28.02892315,-0.545454121,-0.788456426,105975,433091,-0.588449292,-0.39404237,1,,1
53,2014,31.95552709,-0.333108658,-0.405128152,105976,433113,-0.39404237,-0.562292033,1,,1
54,2014,30.20089142,-0.459873312,-0.615951559,105972,433133,-0.536134775,-0.33586549,1,,1
55,2014,49.12830032,-0.192954298,-0.214374981,105964,433154,-0.277688611,-0.557089119,0,,1
56,2014,24.5235709,-0.530425141,-0.755927549,105960,433174,-0.578043462,-0.328160033,1,,1
57,2014,20.62523735,-0.316745991,-0.380888587,105960,433191,-0.378631456,-0.770925138,1,,1
58,2014,2.008386438,-0.932327965,-2.693082252,105950,433212,-0.963806814,-0.481117691,1,,1
60,2014,1.293133962,-0.966333314,-3.391246465,105939,433249,-0.583603926,-0.712397999,1,,1
61,2014,42.39942159,-0.248935755,-0.286264085,105935,433264,-0.460989183,-0.341838336,0,,1
62,2014,25.9095305,0.170654323,0.157562843,105928,433286,-0.100072747,-0.365241691,0,1,0
63,2014,38.25663501,-0.353664534,-0.436436612,105923,433305,-0.269494199,-0.288036103,1,,1
64,2014,35.32642831,-0.373787157,-0.468064961,105916,433326,-0.475999458,-0.576389427,1,,1
65,2014,3.07790704,-0.908431264,-2.390665381,105914,433343,-0.883284654,-0.629047203,1,,1
66,2014,19.61763732,-0.735752958,-1.33087085,105906,433363,-0.782094948,0.361103229,1,,1
67,2014,34.57313025,2.16177961,1.151135037,105902,433383,1.605491112,-0.782094948,0,1,0
