"Block","Year","BAM","BAPERCM","A_BA","B_BA","Cr_BA","F_BA","Fr_BA","I_BA","PM_BA","Q_BA","Sc_BA","T_BA"
4,1996,57.5648159084199,-0.213459247733004,0,0,0,32.9315486417142,0,0,0,24.6332672667057,0,0
4,2014,34.4872846159672,-0.528780656075698,0,0,0,4.71814828751576,0,0,0,29.7691363284514,0,0
5,1964,27.0550032336336,0,0,0,0,14.172509858507,0,0,0,12.8824933751266,0,0
5,1984,30.9942658969239,0.145602003048117,0,0,0,16.8080115705575,0,0,0,14.1862543263664,0,0
5,1988,30.8120142531075,0.138865665142608,0,0,0,16.7257214779875,0,0,0,14.08629277512,0,0
5,1996,7.33014069394247,-0.729065244212207,0,0,0,7.33014069394247,0,0,0,0,0,0
5,2014,8.6070993233903,-0.681866631134225,0,0,0,8.6070993233903,0,0,0,0,0,0
6,1964,37.1650410919673,0,0,0,0,37.1650410919673,0,0,0,0,0,0
6,1984,41.8000879882114,0.12471523668639,0,0,0,41.8000879882114,0,0,0,0,0,0
6,1988,41.9374933968978,0.128412404902789,0,0,0,41.9374933968978,0,0,0,0,0,0
6,1996,43.6863394873349,0.175468617920541,0,0,0,43.6863394873349,0,0,0,0,0,0
6,2014,47.6725256167744,0.282724953775935,0,0,0,47.6725256167744,0,0,0,0,0,0
7,1964,45.9850624669206,0,0,0,0,38.1919491906094,0,0,0,7.79311327631118,0,0
7,1984,7.11578590019722,-0.845258753202391,0,0,0,7.11578590019722,0,0,0,0,0,0
7,1988,6.67370490897488,-0.854872331340734,0,0,0,6.67370490897488,0,0,0,0,0,0
8,1964,61.5909239736279,0,0,0,0,36.5838464510531,0,1.49814699668063,0,23.5089305258941,0,0
8,1984,29.1397248486476,-0.526882810507524,0,0,0,0,0,0.678210949047782,0,28.4615138995998,0,0
8,1988,31.2081690867252,-0.49329922213721,0,0,0,0,0,0.851234164444239,0,30.356934922281,0,0
8,1996,35.5972096432392,-0.422038064269319,0,0,0,0,0,1.14984254616795,0,34.4473670970712,0,0
8,2014,18.7594939646603,-0.695417883766564,0,0,0,0,0,1.83530546816439,0,16.9241884964959,0,0
9,1964,36.3933873964293,0,0,0,0,26.789931353487,0,0.865901475145687,0,8.73755456779661,0,0
9,1984,35.3473548525084,-0.0287423792824385,0,0,0,30.9144694435228,0,0.241922269280499,0,4.19096313970512,0,0
9,1988,36.2147485841645,-0.00490855138926359,0,0,0,31.2628131639436,0,0.237582944427728,0,4.71435247579318,0,0
9,1996,28.1711718335459,-0.225926085783653,0,0,0,22.7072942554684,0,0.316692174435936,0,5.14718540364152,0,0
9,2014,35.9235595731025,-0.0129097030240411,0,0,0,28.6370484177071,0,0.477663502045488,0,6.80884765334985,0,0
10,1964,32.4958490105694,0,0,0,0,32.164018286534,0,0.331830724035422,0,0,0,0
10,1984,18.2466842913149,-0.438491842900302,0,0,0,18.2466842913149,0,0,0,0,0,0
10,1988,18.7805194229761,-0.422064048338369,0,0,0,18.7805194229761,0,0,0,0,0,0
10,1996,19.3610268404973,-0.4042,0,0,0,19.3610268404973,0,0,0,0,0,0
10,2014,20.8843103674815,-0.357323750467674,0,0,0,20.8843103674815,0,0,0,0,0,0
11,1964,45.5923633852219,0,0,0,0,16.7682507885355,0,1.18398773132165,0,27.6401248653647,0,0
11,1984,27.401854697544,-0.398981481481481,0,0,0,13.3320552838553,0,0.412589290186764,0,13.6572101235019,0,0
11,1988,27.6027791826951,-0.394574504737295,0,0,0,14.0436456548475,0,0,0,13.5591335278476,0,0
11,1996,21.5651486113018,-0.527000861326443,0,0,0,6.69972122313742,0,0.241922269280499,0,14.6235051188839,0,0
11,2014,27.2697096787954,-0.401879883953669,0,0,0,10.3290578651755,0,0.439466313387546,0,16.5011855002323,0,0
12,1964,36.3305555433575,0,0,0,0,29.4288691825024,0,0.962112750161874,0,5.9395736106932,0,0
12,1984,39.4338404015275,0.0854180403177864,0,0,0,31.5930730916522,0,0.88950268995578,0,6.95126461991954,0,0
12,1988,37.3846776883614,0.0290147543641572,0,0,0,30.709716142325,0,0.25071872871055,0,6.42424281732577,0,0
12,1996,41.4379997999311,0.140582608225693,0,0,0,34.1078591059886,0,0,0,7.33014069394247,0,0
12,2014,50.4618648496049,0.388964856025472,0,0,0,42.1972475288487,0,0.660940850391229,0,7.603676470365,0,0
13,1964,42.1474106910198,0,0,0,0,30.5686782671329,0,0.237582944427728,0,11.3411494794592,0,0
13,1984,40.1906500717773,-0.0464265915073024,0,0,0,28.0325883276144,0,0.516497467204247,0,11.6415642769587,0,0
13,1988,38.5094267632088,-0.0863157159162376,0,0,0,27.2576359597901,0,0,0,11.2517908034186,0,0
13,1996,33.9119611690832,-0.195396333651674,0,0,0,22.0577699743387,0,0,0,11.8541911947445,0,0
13,2014,42.3080102981407,0.00381042641737211,0,0,0,30.1214655891068,0,0,0,12.1865447090339,0,0
14,1964,37.4895087082208,0,0,0,0,20.4031716635093,0,0.237582944427728,0,16.8487541002838,0,0
14,1984,44.3256143224322,0.182347164573868,0,0,0,24.4628555002026,0,0.610450722500667,0,19.252308099729,0,0
14,1988,43.0205770991769,0.147536433032616,0,0,0,22.9834206147649,0,0.282743338823081,0,19.754413145589,0,0
14,1996,40.1223007966077,0.0702274363976797,0,0,0,19.710273768806,0,0.441786466911065,0,19.9702405608906,0,0
14,2014,48.1384496516481,0.284051226872764,0,0,0,26.5542065323329,0,0.704310490898653,0,20.8799326284166,0,0
15,1964,59.125264614412,0,0,0,0,22.0132378984741,0,0,0,37.1120267159379,0,0
15,1984,58.6144023790302,-0.00864033740421236,0,0,0,20.33073831789,0,0.733679694337726,0,37.5499843668024,0,0
15,1988,40.7256240307755,-0.31119760230471,0,0,0,1.84446831683074,0,0.660775109820358,0,38.2203806041244,0,0
15,1996,41.2338944522182,-0.302601100880871,0,0,0,1.47411381288067,0,0.613867204511446,0,39.145913434826,0,0
15,2014,43.6998428536369,-0.260893915001865,0,0,0,1.68385935208775,0,1.06335343646734,0,40.9526300650818,0,0
16,1964,41.0758330718344,0,0,0,0,39.9954197233108,0,1.08041334852361,0,0,0,0
16,1984,15.2693576635997,-0.628264200097994,0,0,0,14.4143732229252,0,0.854984440674462,0,0,0,0
16,1988,16.7935013394887,-0.59115859415146,0,0,0,15.7856784162171,0,1.00782292327161,0,0,0,0
16,1996,18.6182954323264,-0.546733589072527,0,0,0,18.1219041581051,0,0.496391274221272,0,0,0,0
16,2014,23.4973379799309,-0.427952247764806,0,0,0,23.4973379799309,0,0,0,0,0,0
17,1964,53.437018416006,0,0,0,0,52.9652886441154,0,0.471729771890592,0,0,0,0
17,1984,49.1837535669894,-0.0795939776412123,0,0,0,48.4507218261365,0,0.733031740852923,0,0,0,0
17,1988,46.5371581058808,-0.129121356592352,0,0,0,46.0835121267025,0,0.453645979178366,0,0,0,0
17,1996,27.0778190502803,-0.49327601252974,0,0,0,27.0778190502803,0,0,0,0,0,0
17,2014,28.4034353701141,-0.468468933857911,0,0,0,28.4034353701141,0,0,0,0,0,0
