"Block","Year","BAM","BAPERCM","Northing","Easting"
22,1988,30.792477473793,-0.237196361690744,106486,433024
22,1996,23.0806332724394,-0.428237268349628,106486,433024
22,2014,27.7642824618872,-0.312212026622467,106486,433024
23,1964,34.9904699270606,0,106473,433024
23,1984,48.4218388086775,0.383857916444544,106473,433024
23,1988,49.6540696221859,0.41907410005331,106473,433024
23,1996,50.8563374957606,0.453433966499257,106473,433024
23,2014,49.8195780418202,0.423804199991358,106473,433024
24,1964,51.4671416474348,0,106451,433021
24,1984,54.1406762655479,0.0519464367465282,106451,433021
24,1988,53.6448936749032,0.0423134442240196,106451,433021
24,1996,55.2411172672381,0.0733278650999542,106451,433021
24,2014,17.4843645517824,-0.660281026066,106451,433021
27,1964,20.0752679302909,0,106384,433009
27,1984,23.6219100516988,0.176667237205663,106384,433009
