"Block","Year","BAM","BAPERCM","LightM","MoistM","NitM","LightPercM","MoistPercM","NitPercM"
29,1984,31.1643438692076,0.21744803252282,3.35810651170908,2,1.41813976550967,-0.047585559354509,0,0.0286128921191497
29,1988,26.3743968201875,0.0303267622919386,4.00862915479547,2,1.25701793503306,0.136913400723748,0,-0.0882528753184612
29,1996,26.0008614536756,0.0157344481092276,4.11196159530227,2,1.22200960117443,0.16622018661117,0,-0.113645311532709
29,2014,27.9674029045786,0.0925582063864558,3.67967946969983,2,1.33827478400298,0.0436178398955065,0,-0.0293152131385994
30,1964,49.5748229474991,0,1.93339142316794,2,1.77123166952165,0,0,0
30,1984,24.7025786546256,-0.501711207707465,3.09074376118758,2,1.49636751525326,0.598612533474087,0,-0.155182497579566
30,1988,18.1756253924815,-0.633369837513491,3.73108222414514,2,1.31722944396372,0.929812131902191,0,-0.256320070022543
30,1996,6.14644748693209,-0.876016753636391,1,2,2,-0.482774161498318,0,0.129157768808488
30,2014,9.16150561986363,-0.815198419779212,1,2,2,-0.482774161498318,0,0.129157768808488
31,1964,53.0757352608432,0,1.72880462427746,2,1.82387052023121,0,0,0
31,1984,59.2436830224983,0.116210312138728,1.89159222817023,2,1.79000257187325,0.094161943811789,0,-0.0185692723152675
31,1988,40.8357172183297,-0.230614196531792,2.25897297073777,2,1.70520967464296,0.306667589278283,0,-0.0650599065405201
31,1996,4.04721564084931,-0.923746404624277,2.10668872469351,2,2,0.218581148563266,0,0.0965690699065952
31,2014,16.1055352592811,-0.696555588346923,3.59237047625197,2.03026363332136,1.37059054231197,1.07795052477569,0.0151318166606786,-0.248526401897091
32,1964,36.4125314766621,0,1,2,2,0,0,0
32,1984,41.3830415634473,0.136505479987598,1,2,2,0,0,0
32,1988,24.8286154248968,-0.318129928955634,1,2,2,0,0,0
32,1996,18.9706643183346,-0.479007266207417,1,2,2,0,0,0
32,2014,26.156816483284,-0.281653446697361,1,2,2,0,0,0
33,1964,63.8248908746415,0,1.96235281450205,2,1.77773163209586,0,0,0
33,1984,75.9663218126945,0.19023034386224,1.95638151397297,2,1.77693048703609,-0.00304292912311531,0,-0.000450655793768778
33,1988,45.4168661656107,-0.288414511278774,1.0678581032415,2,2,-0.455827670055104,0,0.125029202322342
33,1996,44.7128548868953,-0.299444867446529,1.06752306663382,2,2,-0.455998402150377,0,0.125029202322342
33,2014,47.9934217595154,-0.248045376939551,1,2,2,-0.490407640965546,0,0.125029202322342
34,1964,40.5663060133303,0,1.34871310850546,2,2,0,0,0
34,1984,6.03064052773914,-0.85133868176813,2.46736646067891,2,2,0.829422762423546,0,0
34,1988,2.3219707652223,-0.942761099212255,2.82404424262412,2,2,1.09388062206461,0,0
34,1996,5.57891877406109,-0.862474074611875,2.16359297791167,2,2,0.604190664617471,0,0
34,2014,8.60839245650893,-0.787794519577894,1.89359956558645,2,2,0.404004716529214,0,0
35,1964,68.5225536394625,0,1.07445932102613,2,2,0,0,0
