Block,Year,A_BA,B_BA,Cr_BA,F_BA,Fr_BA,I_BA,PM_BA,Q_BA,Sc_BA,T_BA,Sor_BA,AM,BM,CrM,FM,FrM,IM,PMM,Q.y,Sc.y,T.y,Sorensen.y,SDM,BAM,BAFM,BAQM,SPRM,LightM,MoistM,NitM,Northing,Easting
14,1996,0,0,0,19.7102737688,0,0.4417864669,0,19.9702405609,0,0,0.9482219535,0,0,0,9,0,1,0,2,0,0,0.6153846154,12,40.1223007966,19.7102737688,19.9702405609,3,3.0129587181,2,1.5022658182,106647,433038
14,2014,0,0,0,26.5542065323,0,0.7043104909,0,20.8799326284,0,0,0.8756371033,0,0,0,10,0,3,0,2,0,0,0.6666666667,15,48.1384496516,26.5542065323,20.8799326284,3,2.7642519049,2,1.5662524909,106647,433038
15,1964,0,0,0,22.0132378985,0,0,0,37.1120267159,0,0,1,0,0,0,10,0,9,0,2,0,0,1,21,59.1252646144,22.0132378985,37.1120267159,3,3.510738985,2,1.3723152538,106624,433036
15,1984,0,0,0,20.3307383179,0,0.7336796943,0,37.5499843668,0,0,0.975758918,0,0,0,5,0,10,0,2,0,0,0.8421052632,17,58.614402379,20.3307383179,37.5499843668,3,3.5875431754,2,1.3593727336,106624,433036
15,1988,0,0,0,1.8444683168,0,0.6607751098,0,38.2203806041,0,0,0.7802934067,0,0,0,2,0,7,0,2,0,0,0.6875,11,40.7256240308,1.8444683168,38.2203806041,3,4.7863894368,2,1.0615151636,106624,433036
15,1996,0,0,0,1.4741138129,0,0.6138672045,0,39.1459134348,0,0,0.7689610174,0,0,0,1,0,5,0,2,0,0,0.5517241379,8,41.2338944522,1.4741138129,39.1459134348,3,4.827224914,2,1.0506374924,106624,433036
15,2014,0,0,0,1.6838593521,0,1.0633534365,0,40.9526300651,0,0,0.7545994752,0,0,0,1,0,2,0,2,0,0,0.3846153846,5,43.6998428536,1.6838593521,40.9526300651,3,4.7972042071,2,1.0628655073,106624,433036
16,1964,0,0,0,39.9954197233,0,1.0804133485,0,0,0,0,1,0,0,0,11,0,11,0,0,0,0,1,22,41.0758330718,39.9954197233,0,2,1.0526057912,2,2,106602,433034
16,1984,0,0,0,14.4143732229,0,0.8549844407,0,0,0,0,0.5419932904,0,0,0,6,0,6,0,0,0,0,0.7058823529,12,15.2693576636,14.4143732229,0,2,1.1119869558,2,2,106602,433034
16,1988,0,0,0,15.7856784162,0,1.0078229233,0,0,0,0,0.5803937961,0,0,0,6,0,2,0,0,0,0,0.5333333333,8,16.7935013395,15.7856784162,0,2,1.1200253482,2,2,106602,433034
