Block,Year,BAM,BAFM,BAQM
58,1964,29.68,27.77,0.00
58,1999,1.07,0.00,0.00
58,2014,2.01,0.00,0.00
60,1964,38.41,20.36,14.52
60,1999,15.99,0.00,15.38
60,2014,1.29,0.00,0.00
61,1964,56.45,47.43,5.07
61,1999,30.43,18.12,10.87
61,2014,42.40,24.69,15.86
62,1964,22.13,11.28,8.98
62,1999,19.92,0.00,19.12
62,2014,25.91,0.00,24.80
63,1964,59.19,25.66,30.65
63,1999,43.24,9.62,31.30
63,2014,38.26,10.52,23.00
64,1964,56.41,44.12,10.54
64,1999,29.56,15.63,12.33
64,2014,35.33,18.36,14.30
65,1964,33.61,29.70,1.04
65,1999,3.92,0.99,2.39
65,2014,3.08,1.23,0.00
66,1964,74.24,14.65,56.75
66,1999,16.18,3.66,12.04
66,2014,19.62,4.52,13.97
67,1964,10.93,5.99,4.03
67,1999,28.49,13.24,11.27
67,2014,34.57,14.32,15.53
