"","Block","Year","BA","Transect","Northing","Easting","Year2"
"44",8,2014,41.0859435627381,"Enclosed",106773,433044,29.7558139534883
"45",8,1996,35.5972096432392,"Enclosed",106773,433044,11.7558139534883
"46",8,1964,61.5909239736279,"Enclosed",106773,433044,-20.2441860465117
"47",8,1988,59.3273868317624,"Enclosed",106773,433044,3.75581395348831
"48",8,1984,67.3924049522417,"Enclosed",106773,433044,-0.244186046511686
"49",9,2014,44.8632931946307,"Enclosed",106752,433047,29.7558139534883
"50",9,1996,37.4860136863937,"Enclosed",106752,433047,11.7558139534883
"51",9,1964,36.3933873964293,"Enclosed",106752,433047,-20.2441860465117
"52",9,1959,31.6050062349973,"Enclosed",106752,433047,-25.2441860465117
"53",9,1984,39.4515511301122,"Enclosed",106752,433047,-0.244186046511686
"54",9,1988,36.2147485841645,"Enclosed",106752,433047,3.75581395348831
"55",10,1984,18.615212744535,"Enclosed",106730,433046,-0.244186046511686
"56",10,2014,20.8843103674815,"Enclosed",106730,433046,29.7558139534883
"57",10,1988,18.7805194229761,"Enclosed",106730,433046,3.75581395348831
"58",10,1996,19.3610268404973,"Enclosed",106730,433046,11.7558139534883
"59",10,1959,44.3102008834755,"Enclosed",106730,433046,-25.2441860465117
"60",10,1964,32.4958490105694,"Enclosed",106730,433046,-20.2441860465117
"61",11,1988,48.7618965784745,"Enclosed",106707,433044,3.75581395348831
"62",11,1959,44.2795016327637,"Enclosed",106707,433044,-25.2441860465117
"63",11,2014,42.4261091408063,"Enclosed",106707,433044,29.7558139534883
"64",11,1964,49.0068819005923,"Enclosed",106707,433044,-20.2441860465117
"65",11,1996,41.9437569472509,"Enclosed",106707,433044,11.7558139534883
"66",11,1984,52.0492394962368,"Enclosed",106707,433044,-0.244186046511686
"67",12,1988,45.6804457892469,"Enclosed",106687,433042,3.75581395348831
"68",12,1964,51.6752721607351,"Enclosed",106687,433042,-20.2441860465117
"69",12,2014,61.3323471677496,"Enclosed",106687,433042,29.7558139534883
"70",12,1996,52.3840940032013,"Enclosed",106687,433042,11.7558139534883
"71",12,1984,47.8943064972775,"Enclosed",106687,433042,-0.244186046511686
"72",12,1959,44.825127554353,"Enclosed",106687,433042,-25.2441860465117
"73",13,1996,46.0879299913716,"Enclosed",106666,433035,11.7558139534883
"74",13,1964,43.5493464126843,"Enclosed",106666,433035,-20.2441860465117
